,File,Min,1Q,Median,Mean,3Q,Max,Type
bash,6.4004219582,0.7313015489,4.0496173954,4.1765806666,4.0663214422,4.2882993248,7.2486606932,0
kmod,6.2647600786,1.2292352357,4.9162105151,5.1671455756,5.0254612977,5.385413729,5.9000683351,0
ping6,5.8924777362,0,4.3647617044,4.8773921465,4.4136696833,5.368911694,6.0173381769,0
bunzip2,5.7645013208,0,3.9246844703,4.7146899639,4.1439440103,5.1926374811,6.0226941912,0
less,6.3538814855,0.9905725167,5.1448898311,5.3552838523,5.2054984649,5.5528113792,6.042146942,0
plymouth,5.9475306904,0,4.1618683139,4.6878280548,4.3752304855,4.9674632124,5.6277006166,0
busybox,6.5621173313,1.6719759045,5.2356529837,5.4037339663,5.3708740774,5.5969443958,6.3678505651,0
lesse0ho,3.5329845681,0,0,2.1738119905,2.3728659563,4.7260109709,5.7157068137,0
plymouthupstartbridge,5.4123233669,0,2.92522272,4.5340619598,3.7572185719,4.9565754638,5.7789263944,0
bz0at,5.7645013208,0,3.9246844703,4.7146899639,4.1439440103,5.1926374811,6.0226941912,0
ps,6.0326557768,0,3.9663768553,4.6315715134,4.4246298364,5.1137898158,5.9310145175,0
lesskey,4.8362545991,0,1.9512603353,4.1477233144,3.3754932149,5.0038556102,5.7346565163,0
pwd,5.9332280953,1.1516842406,4.0875676858,4.7705816681,4.4479880835,5.213823595,5.8444062986,0
bzdiff,4.8302497875,2.2193532719,3.3481602998,4.341571478,4.087125902,4.8985664536,5.1134174969,0
lesspipe,5.1594614989,1.922150721,4.550378651,4.6474366301,4.5951834281,4.8036582163,5.1173306649,0
ln,6.083545629,0,4.2809406183,4.837528886,4.5681729551,5.3473226906,5.9120175124,0
readlink,5.7449092224,0,3.8532648854,4.7406725549,4.2075713559,5.3606074686,5.9465090625,0
bzexe,4.983564319,0.3798637207,4.4081776334,4.4956048236,4.3844633595,4.7784856759,5.0468265097,0
loadkeys,6.1290205187,0.8112781245,3.8066617315,4.1806785304,4.2174802635,4.9824037088,5.8962459238,0
red,4.6730061499,4.6730061499,4.6730061499,4.6730061499,4.6730061499,4.6730061499,4.6730061499,0
login,5.8055327965,0,4.2814279312,4.7797111346,4.3798208752,5.174875348,5.7953251446,0
