,Alpha, Mag0, Mag1, Mag2, Mag3, Mag4, Ratio1, Ratio2, Ratio3, Ratio4, Pitch 
bash,1.01835987355, 3.51181807095, 4.37747160294, 5.30726960319, 5.84536683469, 5.50134770214, 1.24649725997, 1.51125983635, 1.66448452528, 1.56652411685, 3
kmod,1.09091636263, 2.89350925843, 3.48057541534, 1.43777229558, 1.22938557022, 1.31750171784, 1.20289071314, 0.496895695561, 0.424877012795, 0.455330050872, 1
ping6,1.17884547923, 3.3030119349, 4.45701338257, 1.27387981335, 1.29739897777, 1.27827511995, 1.34937852797, 0.385672179955, 0.392792700523, 0.38700287651, 1
bunzip2,1.1592581612, 3.15591668293, 4.15773488817, 1.2547524815, 1.23921261995, 1.19333504292, 1.31744127171, 0.397587328047, 0.392663287551, 0.378126282414, 1
less,1.06533533196, 3.36498086235, 4.32655821398, 1.21891649424, 1.24438065685, 1.25022638551, 1.28576012493, 0.362235787987, 0.3698031899, 0.371540414834, 1
plymouth,1.03265646771, 3.22804423709, 3.31413599789, 1.30421946981, 1.32285232365, 1.32712413587, 1.02666994455, 0.404027756134, 0.409799936584, 0.411123280352, 1
busybox,0.940631667549, 3.15735472928, 3.55979717045, 3.50647941641, 2.7285669207, 5.15231579772, 1.12746190266, 1.11057505952, 0.864193970794, 1.6318457188, 4
lessecho,0.761715732433, 3.22310590332, 3.32200179426, 3.01334571161, 4.45811960178, 4.19768203659, 1.03068341342, 0.934919857428, 1.38317502915, 1.30237173785, 3
plymouth-upstart-bridge,1.27522004835, 3.30628492416, 3.36351436694, 2.40259143275, 1.35351041518, 1.35056163587, 1.01730928946, 0.72667404288, 0.409375007365, 0.408483136467, 1
bzcat,1.1592581612, 3.15591668293, 4.15773488817, 1.2547524815, 1.23921261995, 1.19333504292, 1.31744127171, 0.397587328047, 0.392663287551, 0.378126282414, 1
ps,1.14478812354, 3.29317884863, 4.02108062916, 1.26841006532, 1.31859588046, 1.3174780076, 1.22103317615, 0.385162824014, 0.4004021467, 0.400062695699, 1
lesskey,1.35514986633, 3.20434005883, 3.60221673438, 1.16887831363, 4.79486738882, 3.7969732565, 1.1241680559, 0.36477973379, 1.49636658431, 1.18494703645, 3
pwd,1.10284291171, 3.23524112802, 4.18850460279, 1.17896988244, 1.1516842406, 1.1832800506, 1.29464989998, 0.364414841365, 0.355980959388, 0.365747096979, 1
bzdiff,-nan, 4.8985664536, 4.19776944403, 5.11159983806, 4.34157147803, 5.11341749685, 0.856938347942, 1.04348892405, 0.886294290208, 1.04385998338, 4
lesspipe,0.344785014112, 5.048237336, 4.50629262347, 4.47396910358, 5.09753008437, 4.71013741186, 0.892646744506, 0.886243812603, 1.00976434844, 0.933026143259, 3
ln,1.09246025792, 3.26544592666, 4.53766317707, 1.5768443215, 1.18465045273, 1.23179021945, 1.38959985221, 0.482887898596, 0.36278366855, 0.377219604034, 1
readlink,1.07311811228, 3.26544522008, 4.20460988817, 1.18503319584, 1.20436067976, 1.13841611144, 1.28760692793, 0.362900957136, 0.368819746954, 0.34862508317, 1
bzexe,1.43482816203, 4.48008384567, 4.40817763344, 4.77848567588, 4.49448718715, 4.91293548317, 0.983949806588, 1.06660630481, 1.00321497141, 1.09661686085, 4
loadkeys,0.938530324693, 3.30885288117, 3.88408765124, 1.2487766083, 1.13404647443, 1.08803053593, 1.17384718835, 0.377404693754, 0.342731005324, 0.328824089497, 1
red,nan, nan
login,1.1983476887, 3.25001944926, 3.63913946363, 3.40891591426, 1.35429257091, 1.27237756134, 1.11972851869, 1.04889092742, 0.416702912722, 0.391498445228, 1
rm,1.06907618049, 3.21116059617, 4.63483165152, 1.86116193313, 1.15365101195, 1.33358329298, 1.44335093581, 0.579591670173, 0.359262944781, 0.415296355644, 1
bzgrep,-nan, 4.64460007817, 4.75912058026, 4.91646741393, 4.83715265185, 5.22521772161, 1.02465669814, 1.05853406778, 1.04145729889, 1.12500917919, 4
loginctl,1.13778312812, 3.30835745961, 4.07720992924, 2.07422808229, 1.35443334861, 1.37811489617, 1.2323970366, 0.626966132775, 0.409397522833, 0.416555621027, 1
rmdir,1.08797466857, 3.282104058, 4.14544603726, 1.1832800506, 1.20436067976, 1.15831600337, 1.26304527949, 0.360524843116, 0.366947744033, 0.352918732284, 1
bzip2,1.1592581612, 3.15591668293, 4.15773488817, 1.2547524815, 1.23921261995, 1.19333504292, 1.31744127171, 0.397587328047, 0.392663287551, 0.378126282414, 1
lowntfs-3g,1.27290359584, 2.67543786636, 3.43788785269, 3.58647808713, 1.42305209983, 1.40427517387, 1.28498138414, 1.3405200443, 0.531895028372, 0.524876765603, 2
bzip2recover,1.18563135044, 3.26676768987, 3.3051055913, 0.939645072363, 3.84562712482, 4.35797612856, 1.01173572934, 0.287637555397, 1.17719638796, 1.33403306947, 4
ls,1.15216100558, 3.34026338393, 4.60510649341, 1.96327318514, 1.36441011179, 1.26334453565, 1.37866568115, 0.587759993595, 0.408473810285, 0.378217041724, 1
running-in-container,nan, nan
lsblk,1.19357644698, 3.23721812594, 3.93053890158, 1.29184756532, 1.28511285657, 1.31808950744, 1.21417178227, 0.399061019388, 0.396980619338, 0.407167344356, 1
run-parts,1.22702758267, 3.27057400489, 3.9739522444, 1.08629647697, 1.15236661481, 1.27900789158, 1.21506262768, 0.332142454306, 0.35234384334, 0.391065265506, 1
bzmore,-nan, 5.1423830164, 4.68600247943, 4.95487102006, 4.88540003041, 4.91921598151, 0.911251158166, 0.963535972382, 0.950026478936, 0.956602409004, 2
sed,1.22780177707, 3.21825424714, 4.38422293214, 1.45013750152, 1.31250266381, 1.30421946981, 1.36229849958, 0.450597556985, 0.407830632083, 0.405256816167, 1
cat,1.09238922246, 3.26271038151, 4.15478610886, 1.21750337356, 1.18678238244, 1.2724749918, 1.273415542, 0.373157047731, 0.36374125916, 0.39000549942, 1
mkdir,1.10887999759, 3.24503062594, 4.49416094118, 1.65710559045, 1.24438065685, 1.27822329, 1.38493637171, 0.510659461024, 0.383472700351, 0.393901764681, 1
setfacl,1.30566607735, 3.18895193185, 3.54834241608, 3.11325518231, 1.26161628204, 1.31400598573, 1.11269862071, 0.976262812621, 0.395620977988, 0.412049480146, 1
chacl,1.07688013454, 3.20858816121, 4.05518947675, 1.16525876335, 1.16525876335, 4.05383991471, 1.26385477755, 0.363168691274, 0.363168691274, 1.26343416825, 1
