, maxJumpSize, minJumpSize, maxLongestRunPct, meanLongestRun, Segment_Count
bash,5.02813268736, -3.83000198299, 0.489234760052, 5.33266534974, 25
kmod,1.51445687962, -2.22176617391, 0.383116883117, 5.27131883548, 9
ping6,2.80729258787, -3.84639464266, 0.423529411765, 5.22425270299, 9
bunzip2,3.7634568207, -4.16220779614, 0.445378151261, 5.2152082109, 7
less,2.84136190425, -3.86860466799, 0.382042253521, 5.42015699513, 10
plymouth,2.77151470812, -4.11178874311, 0.459259259259, 5.03814168065, 9
busybox,3.02901546133, -2.89223178902, 0.211084553331, 5.54437169605, 36
lessecho,3.73576870057, -4.99819149358, 0.421052631579, 0.0329574389572, 5
plymouth-upstart-bridge,3.81795479393, -3.72797625786, 0.433333333333, 5.05151918915, 12
bzcat,3.7634568207, -4.16220779614, 0.445378151261, 5.2152082109, 7
ps,2.69558064691, -4.26434286436, 0.377906976744, 5.01286199584, 10
lesskey,3.56577008219, -3.79939323519, 0.263157894737, 5.44497580249, 7
pwd,2.70751219297, -2.54654580388, 0.52427184466, 5.16262822915, 9
bzdiff,-1.83004417692, -1.83004417692, 0.666666666667, 4.69714062765, 2
lesspipe,0.226330568495, -1.58688160015, 0.645161290323, 4.62212287095, 4
ln,2.11646424103, -3.89870648536, 0.255, 5.46858081133, 9
readlink,3.43216456222, -4.12810819979, 0.278145695364, 5.45593258387, 13
bzexe,0.234418348663, -1.85740572706, 0.7, 4.67854908822, 4
loadkeys,2.07749280464, -2.60417116963, 0.420588235294, 3.92430372298, 10
red,-inf, inf, 1., 2.15452059371, 1
login,2.95091712487, -4.02293918331, 0.476470588235, 5.14334615959, 10
rm,3.52534744547, -4.46076205597, 0.300925925926, 5.12829566907, 9
bzgrep,-0.0784661856122, -1.72158862465, 0.4, 4.44298799455, 4
loginctl,2.49892005629, -3.67289631319, 0.581005586592, 5.19375648882, 11
rmdir,3.32834369787, -3.90510648109, 0.609271523179, 5.17215151945, 7
bzip2,3.7634568207, -4.16220779614, 0.445378151261, 5.2152082109, 7
lowntfs-3g,2.79936215908, -4.5036176016, 0.372469635628, 5.19542931231, 11
bzip2recover,1.69370003315, -1.46904213462, 0.552631578947, 5.09292875803, 6
ls,2.74788355842, -4.30712397312, 0.543529411765, 5.36533052225, 9
running-in-container,-inf, inf, 1., 4.43045985727, 1
lsblk,3.38721037621, -4.232177072, 0.529411764706, 5.27373294129, 9
run-parts,2.9235124147, -3.90033962094, 0.410714285714, 5.03215756314, 9
bzmore,0.00594277732409, -2.23396503448, 0.333333333333, 4.91419274791, 3
sed,2.33967025966, -1.48620905931, 0.493975903614, 5.35529499572, 8
cat,3.52801156708, -4.03831711003, 0.619565217391, 5.12573391926, 9
mkdir,3.44480003906, -4.0621708561, 0.603260869565, 5.1898112055, 9
setfacl,2.65111784, -3.74884959616, 0.322314049587, 4.94959371669, 12
chacl,1.6769957415, -1.31385793737, 0.435897435897, 4.88207934645, 6
mknod,3.43842038887, -4.15197633319, 0.340740740741, 5.17288965154, 11
setfont,2.84943981866, -4.43678885228, 0.585526315789, 5.11015431038, 8
chgrp,2.62924121576, -4.01706643035, 0.291666666667, 5.50074293877, 10
mktemp,3.51070199995, -4.06228439996, 0.506578947368, 5.20165427557, 8
setupcon,0.56281406282, -2.10661477153, 0.75, 4.86323627292, 4
chmod,1.7709711621, -1.45910304824, 0.331658291457, 5.47957774435, 8
more,3.64309707142, -4.18768684224, 0.562962962963, 5.23369332648, 9
chown,2.68592315514, -4.29192182597, 0.297413793103, 5.48661076636, 9
chvt,3.77573140777, -5.21430865782, 0.394736842105, 0.0375901711078, 7
mountpoint,1.79738516922, -2.41950280648, 0.318181818182, 5.25755255836, 5
sleep,3.26738956153, -3.97738201181, 0.47572815534, 5.19608338566, 8
cp,3.56512524764, -4.4062002202, 0.466257668712, 5.24952770687, 13
ss,2.6546022194, -4.38608934556, 0.699324324324, 5.25149254952, 7
cpio,2.90488726402, -4.27903899689, 0.445672191529, 5.3611745636, 12
mt-gnu,2.503657696, -4.19774748308, 0.645283018868, 5.28745898908, 8
